Unnamed: 0	wavelength	counts
0	232.734922	158.0
1	233.114346	133.0
2	233.493737	124.0
3	233.873095	123.0
4	234.252421	127.0
5	234.631715	124.0
6	235.010976	120.0
7	235.390204	126.0
8	235.7694	132.0
9	236.148564	119.0
10	236.527695	135.0
11	236.906793	130.0
12	237.285859	127.0
13	237.664892	122.0
14	238.043893	126.0
15	238.422861	124.0
16	238.801796	122.0
17	239.180699	122.0
18	239.559569	125.0
19	239.938407	124.0
20	240.317212	128.0
21	240.695984	130.0
22	241.074724	134.0
23	241.453431	133.0
24	241.832105	125.0
25	242.210747	127.0
26	242.589356	134.0
27	242.967932	131.0
28	243.346476	133.0
29	243.724986	134.0
30	244.103465	131.0
31	244.48191	173.0
32	244.860323	134.0
33	245.238702	134.0
34	245.61705	142.0
35	245.995364	130.0
36	246.373645	132.0
37	246.751894	128.0
38	247.13011	130.0
39	247.508293	132.0
40	247.886444	132.0
41	248.264561	145.0
42	248.642646	135.0
43	249.020698	130.0
44	249.398717	123.0
45	249.776703	138.0
46	250.154656	194.0
47	250.532576	133.0
48	250.910464	127.0
49	251.288318	152.0
50	251.66614	143.0
51	252.043929	134.0
52	252.421684	129.0
53	252.799407	187.0
54	253.177097	140.0
55	253.554754	130.0
56	253.932378	129.0
57	254.309969	134.0
58	254.687527	146.0
59	255.065052	145.0
60	255.442544	129.0
61	255.820003	130.0
62	256.197429	172.0
63	256.574822	132.0
64	256.952182	124.0
65	257.329509	129.0
66	257.706803	129.0
67	258.084063	130.0
68	258.461291	131.0
69	258.838486	134.0
70	259.215647	134.0
71	259.592775	126.0
72	259.969871	122.0
73	260.346933	128.0
74	260.723962	136.0
75	261.100958	130.0
76	261.47792	160.0
77	261.85485	137.0
78	262.231746	129.0
79	262.60861	131.0
80	262.98544	124.0
81	263.362236	128.0
82	263.739	129.0
83	264.115731	127.0
84	264.492428	129.0
85	264.869092	138.0
86	265.245722	133.0
87	265.62232	130.0
88	265.998884	196.0
89	266.375415	140.0
90	266.751913	136.0
91	267.128377	128.0
92	267.504808	134.0
93	267.881206	130.0
94	268.25757	130.0
95	268.633901	199.0
96	269.010199	136.0
97	269.386464	129.0
98	269.762695	131.0
99	270.138892	132.0
100	270.515057	129.0
101	270.891188	129.0
102	271.267285	127.0
103	271.64335	127.0
104	272.01938	134.0
105	272.395378	130.0
106	272.771342	130.0
107	273.147272	133.0
108	273.523169	133.0
109	273.899033	133.0
110	274.274863	126.0
111	274.65066	136.0
112	275.026423	130.0
113	275.402153	134.0
114	275.777849	134.0
115	276.153512	127.0
116	276.529141	126.0
117	276.904737	130.0
118	277.280299	130.0
119	277.655827	129.0
120	278.031322	145.0
121	278.406784	130.0
122	278.782212	133.0
123	279.157606	155.0
124	279.532967	133.0
125	279.908294	132.0
126	280.283587	129.0
127	280.658847	128.0
128	281.034074	131.0
129	281.409266	131.0
130	281.784425	126.0
131	282.15955	171.0
132	282.534642	168.0
133	282.9097	134.0
134	283.284724	125.0
135	283.659715	126.0
136	284.034672	133.0
137	284.409595	130.0
138	284.784485	134.0
139	285.15934	136.0
140	285.534162	128.0
141	285.908951	129.0
142	286.283705	132.0
143	286.658426	127.0
144	287.033113	131.0
145	287.407766	142.0
146	287.782386	128.0
147	288.156971	130.0
148	288.531523	127.0
149	288.906041	125.0
150	289.280525	127.0
151	289.654975	127.0
152	290.029392	124.0
153	290.403775	126.0
154	290.778123	126.0
155	291.152438	133.0
156	291.526719	131.0
157	291.900966	132.0
158	292.275179	127.0
159	292.649359	134.0
160	293.023504	131.0
161	293.397615	135.0
162	293.771693	135.0
163	294.145736	129.0
164	294.519746	136.0
165	294.893722	128.0
166	295.267663	128.0
167	295.641571	136.0
168	296.015444	130.0
169	296.389284	131.0
170	296.76309	130.0
171	297.136861	133.0
172	297.510599	127.0
173	297.884302	129.0
174	298.257972	126.0
175	298.631607	128.0
176	299.005209	131.0
177	299.378776	131.0
178	299.752309	132.0
179	300.125808	127.0
180	300.499273	162.0
181	300.872704	133.0
182	301.246101	127.0
183	301.619463	136.0
184	301.992792	137.0
185	302.366086	127.0
186	302.739346	126.0
187	303.112572	127.0
188	303.485764	166.0
189	303.858922	131.0
190	304.232045	130.0
191	304.605135	128.0
192	304.97819	128.0
193	305.35121	128.0
194	305.724197	129.0
195	306.097149	128.0
196	306.470067	132.0
197	306.842951	126.0
198	307.215801	131.0
199	307.588616	126.0
200	307.961397	129.0
201	308.334144	127.0
202	308.706856	136.0
203	309.079534	126.0
204	309.452178	133.0
205	309.824787	139.0
206	310.197362	128.0
207	310.569903	127.0
208	310.942409	131.0
209	311.314881	131.0
210	311.687319	129.0
211	312.059722	138.0
212	312.432091	139.0
213	312.804425	130.0
214	313.176725	133.0
215	313.54899	135.0
216	313.921222	130.0
217	314.293418	128.0
218	314.66558	134.0
219	315.037708	133.0
220	315.409801	141.0
221	315.78186	132.0
222	316.153884	126.0
223	316.525874	130.0
224	316.89783	130.0
225	317.26975	128.0
226	317.641637	133.0
227	318.013488	122.0
228	318.385305	131.0
229	318.757088	145.0
230	319.128836	133.0
231	319.500549	128.0
232	319.872228	130.0
233	320.243873	128.0
234	320.615482	137.0
235	320.987057	131.0
236	321.358598	128.0
237	321.730104	127.0
238	322.101575	133.0
239	322.473011	133.0
240	322.844413	167.0
241	323.215781	131.0
242	323.587113	129.0
243	323.958411	133.0
244	324.329674	138.0
245	324.700903	130.0
246	325.072096	129.0
247	325.443255	129.0
248	325.81438	132.0
249	326.185469	153.0
250	326.556524	130.0
251	326.927544	134.0
252	327.298529	130.0
253	327.66948	136.0
254	328.040396	138.0
255	328.411277	131.0
256	328.782123	135.0
257	329.152934	136.0
258	329.523711	142.0
259	329.894452	132.0
260	330.265159	133.0
261	330.635831	134.0
262	331.006468	128.0
263	331.377071	128.0
264	331.747638	128.0
265	332.118171	186.0
266	332.488668	136.0
267	332.859131	133.0
268	333.229559	126.0
269	333.599951	131.0
270	333.970309	134.0
271	334.340632	130.0
272	334.71092	134.0
273	335.081174	131.0
274	335.451392	139.0
275	335.821575	134.0
276	336.191723	130.0
277	336.561836	130.0
278	336.931914	132.0
279	337.301957	132.0
280	337.671966	133.0
281	338.041939	135.0
282	338.411877	127.0
283	338.78178	139.0
284	339.151648	130.0
285	339.521481	142.0
286	339.891278	131.0
287	340.261041	139.0
288	340.630769	132.0
289	341.000461	138.0
290	341.370119	127.0
291	341.739741	128.0
292	342.109328	128.0
293	342.47888	131.0
294	342.848397	138.0
295	343.217878	137.0
296	343.587325	128.0
297	343.956736	129.0
298	344.326112	138.0
299	344.695453	127.0
300	345.064759	130.0
301	345.43403	134.0
302	345.803265	141.0
303	346.172465	132.0
304	346.54163	144.0
305	346.910759	134.0
306	347.279854	126.0
307	347.648913	156.0
308	348.017936	142.0
309	348.386925	131.0
310	348.755878	132.0
311	349.124796	173.0
312	349.493678	137.0
313	349.862526	132.0
314	350.231337	134.0
315	350.600114	130.0
316	350.968855	139.0
317	351.337561	134.0
318	351.706231	126.0
319	352.074866	123.0
320	352.443466	127.0
321	352.81203	131.0
322	353.180559	132.0
323	353.549053	144.0
324	353.917511	133.0
325	354.285933	124.0
326	354.65432	137.0
327	355.022672	135.0
328	355.390988	132.0
329	355.759269	130.0
330	356.127514	128.0
331	356.495724	131.0
332	356.863898	126.0
333	357.232037	127.0
334	357.60014	124.0
335	357.968208	134.0
336	358.33624	136.0
337	358.704237	128.0
338	359.072198	129.0
339	359.440123	129.0
340	359.808013	126.0
341	360.175867	125.0
342	360.543686	179.0
343	360.911469	133.0
344	361.279217	129.0
345	361.646929	130.0
346	362.014605	130.0
347	362.382246	135.0
348	362.749851	132.0
349	363.11742	140.0
