	wavelength	counts
0	232.734922	144.0
1	233.114346	125.0
2	233.493737	121.0
3	233.873095	119.0
4	234.252421	121.0
5	234.631715	123.0
6	235.010976	124.0
7	235.390204	122.0
8	235.7694	126.0
9	236.148564	123.0
10	236.527695	130.0
11	236.906793	122.0
12	237.285859	123.0
13	237.664892	123.0
14	238.043893	126.0
15	238.422861	121.0
16	238.801796	123.0
17	239.180699	121.0
18	239.559569	127.0
19	239.938407	121.0
20	240.317212	126.0
21	240.695984	131.0
22	241.074724	129.0
23	241.453431	126.0
24	241.832105	125.0
25	242.210747	131.0
26	242.589356	128.0
27	242.967932	131.0
28	243.346476	124.0
29	243.724986	132.0
30	244.103465	132.0
31	244.48191	156.0
32	244.860323	128.0
33	245.238702	128.0
34	245.61705	135.0
35	245.995364	131.0
36	246.373645	133.0
37	246.751894	132.0
38	247.13011	128.0
39	247.508293	127.0
40	247.886444	129.0
41	248.264561	147.0
42	248.642646	133.0
43	249.020698	132.0
44	249.398717	132.0
45	249.776703	139.0
46	250.154656	180.0
47	250.532576	128.0
48	250.910464	124.0
49	251.288318	149.0
50	251.66614	142.0
51	252.043929	136.0
52	252.421684	129.0
53	252.799407	177.0
54	253.177097	143.0
55	253.554754	132.0
56	253.932378	129.0
57	254.309969	132.0
58	254.687527	140.0
59	255.065052	140.0
60	255.442544	129.0
61	255.820003	128.0
62	256.197429	159.0
63	256.574822	129.0
64	256.952182	125.0
65	257.329509	129.0
66	257.706803	130.0
67	258.084063	132.0
68	258.461291	130.0
69	258.838486	132.0
70	259.215647	130.0
71	259.592775	128.0
72	259.969871	129.0
73	260.346933	128.0
74	260.723962	130.0
75	261.100958	126.0
76	261.47792	151.0
77	261.85485	133.0
78	262.231746	126.0
79	262.60861	132.0
80	262.98544	127.0
81	263.362236	128.0
82	263.739	126.0
83	264.115731	124.0
84	264.492428	127.0
85	264.869092	130.0
86	265.245722	129.0
87	265.62232	123.0
88	265.998884	175.0
89	266.375415	134.0
90	266.751913	132.0
91	267.128377	130.0
92	267.504808	129.0
93	267.881206	127.0
94	268.25757	124.0
95	268.633901	182.0
96	269.010199	132.0
97	269.386464	123.0
98	269.762695	126.0
99	270.138892	128.0
100	270.515057	126.0
101	270.891188	129.0
102	271.267285	126.0
103	271.64335	129.0
104	272.01938	132.0
105	272.395378	130.0
106	272.771342	129.0
107	273.147272	128.0
108	273.523169	129.0
109	273.899033	132.0
110	274.274863	127.0
111	274.65066	132.0
112	275.026423	129.0
113	275.402153	130.0
114	275.777849	129.0
115	276.153512	128.0
116	276.529141	125.0
117	276.904737	129.0
118	277.280299	132.0
119	277.655827	127.0
120	278.031322	146.0
121	278.406784	130.0
122	278.782212	131.0
123	279.157606	147.0
124	279.532967	134.0
125	279.908294	132.0
126	280.283587	131.0
127	280.658847	126.0
128	281.034074	129.0
129	281.409266	126.0
130	281.784425	126.0
131	282.15955	158.0
132	282.534642	163.0
133	282.9097	129.0
134	283.284724	129.0
135	283.659715	129.0
136	284.034672	130.0
137	284.409595	126.0
138	284.784485	132.0
139	285.15934	132.0
140	285.534162	126.0
141	285.908951	133.0
142	286.283705	129.0
143	286.658426	128.0
144	287.033113	129.0
145	287.407766	136.0
146	287.782386	122.0
147	288.156971	126.0
148	288.531523	127.0
149	288.906041	122.0
150	289.280525	129.0
151	289.654975	123.0
152	290.029392	123.0
153	290.403775	122.0
154	290.778123	128.0
155	291.152438	128.0
156	291.526719	128.0
157	291.900966	124.0
158	292.275179	127.0
159	292.649359	134.0
160	293.023504	131.0
161	293.397615	134.0
162	293.771693	130.0
163	294.145736	128.0
164	294.519746	134.0
165	294.893722	129.0
166	295.267663	135.0
167	295.641571	135.0
168	296.015444	124.0
169	296.389284	131.0
170	296.76309	134.0
171	297.136861	131.0
172	297.510599	128.0
173	297.884302	130.0
174	298.257972	128.0
175	298.631607	125.0
176	299.005209	128.0
177	299.378776	128.0
178	299.752309	132.0
179	300.125808	125.0
180	300.499273	150.0
181	300.872704	131.0
182	301.246101	127.0
183	301.619463	134.0
184	301.992792	133.0
185	302.366086	127.0
186	302.739346	127.0
187	303.112572	129.0
188	303.485764	164.0
189	303.858922	130.0
190	304.232045	126.0
191	304.605135	131.0
192	304.97819	127.0
193	305.35121	124.0
194	305.724197	126.0
195	306.097149	126.0
196	306.470067	127.0
197	306.842951	128.0
198	307.215801	127.0
199	307.588616	126.0
200	307.961397	128.0
201	308.334144	126.0
202	308.706856	129.0
203	309.079534	124.0
204	309.452178	128.0
205	309.824787	135.0
206	310.197362	131.0
207	310.569903	129.0
208	310.942409	135.0
209	311.314881	126.0
210	311.687319	127.0
211	312.059722	133.0
212	312.432091	131.0
213	312.804425	129.0
214	313.176725	130.0
215	313.54899	134.0
216	313.921222	132.0
217	314.293418	128.0
218	314.66558	127.0
219	315.037708	130.0
220	315.409801	139.0
221	315.78186	129.0
222	316.153884	125.0
223	316.525874	130.0
224	316.89783	129.0
225	317.26975	126.0
226	317.641637	136.0
227	318.013488	128.0
228	318.385305	128.0
229	318.757088	138.0
230	319.128836	128.0
231	319.500549	127.0
232	319.872228	129.0
233	320.243873	128.0
234	320.615482	135.0
235	320.987057	130.0
236	321.358598	124.0
237	321.730104	126.0
238	322.101575	130.0
239	322.473011	132.0
240	322.844413	156.0
241	323.215781	129.0
242	323.587113	127.0
243	323.958411	134.0
244	324.329674	129.0
245	324.700903	127.0
246	325.072096	127.0
247	325.443255	128.0
248	325.81438	128.0
249	326.185469	144.0
250	326.556524	126.0
251	326.927544	134.0
252	327.298529	131.0
253	327.66948	131.0
254	328.040396	137.0
255	328.411277	126.0
256	328.782123	131.0
257	329.152934	132.0
258	329.523711	135.0
259	329.894452	129.0
260	330.265159	129.0
261	330.635831	133.0
262	331.006468	128.0
263	331.377071	123.0
264	331.747638	132.0
265	332.118171	166.0
266	332.488668	135.0
267	332.859131	127.0
268	333.229559	125.0
269	333.599951	129.0
270	333.970309	136.0
271	334.340632	128.0
272	334.71092	132.0
273	335.081174	133.0
274	335.451392	137.0
275	335.821575	131.0
276	336.191723	129.0
277	336.561836	131.0
278	336.931914	132.0
279	337.301957	133.0
280	337.671966	129.0
281	338.041939	128.0
282	338.411877	129.0
283	338.78178	135.0
284	339.151648	131.0
285	339.521481	134.0
286	339.891278	130.0
287	340.261041	135.0
288	340.630769	129.0
289	341.000461	133.0
290	341.370119	130.0
291	341.739741	128.0
292	342.109328	126.0
293	342.47888	128.0
294	342.848397	133.0
295	343.217878	133.0
296	343.587325	128.0
297	343.956736	127.0
298	344.326112	131.0
299	344.695453	131.0
300	345.064759	127.0
301	345.43403	131.0
302	345.803265	134.0
303	346.172465	129.0
304	346.54163	143.0
305	346.910759	132.0
306	347.279854	130.0
307	347.648913	155.0
308	348.017936	135.0
309	348.386925	127.0
310	348.755878	124.0
311	349.124796	159.0
312	349.493678	134.0
313	349.862526	130.0
314	350.231337	127.0
315	350.600114	124.0
316	350.968855	133.0
317	351.337561	125.0
318	351.706231	125.0
319	352.074866	128.0
320	352.443466	125.0
321	352.81203	128.0
322	353.180559	130.0
323	353.549053	136.0
324	353.917511	131.0
325	354.285933	127.0
326	354.65432	134.0
327	355.022672	131.0
328	355.390988	129.0
329	355.759269	130.0
330	356.127514	127.0
331	356.495724	129.0
332	356.863898	125.0
333	357.232037	128.0
334	357.60014	130.0
