Unnamed: 0	wavelength	counts
0	232.734922	144.0
1	233.114346	129.0
2	233.493737	121.0
3	233.873095	124.0
4	234.252421	126.0
5	234.631715	123.0
6	235.010976	125.0
7	235.390204	122.0
8	235.7694	127.0
9	236.148564	123.0
10	236.527695	131.0
11	236.906793	122.0
12	237.285859	123.0
13	237.664892	123.0
14	238.043893	125.0
15	238.422861	121.0
16	238.801796	123.0
17	239.180699	122.0
18	239.559569	127.0
19	239.938407	124.0
20	240.317212	124.0
21	240.695984	125.0
22	241.074724	129.0
23	241.453431	125.0
24	241.832105	126.0
25	242.210747	126.0
26	242.589356	131.0
27	242.967932	131.0
28	243.346476	125.0
29	243.724986	135.0
30	244.103465	125.0
31	244.48191	158.0
32	244.860323	132.0
33	245.238702	134.0
34	245.61705	139.0
35	245.995364	128.0
36	246.373645	126.0
37	246.751894	128.0
38	247.13011	126.0
39	247.508293	133.0
40	247.886444	126.0
41	248.264561	138.0
42	248.642646	133.0
43	249.020698	130.0
44	249.398717	126.0
45	249.776703	130.0
46	250.154656	175.0
47	250.532576	134.0
48	250.910464	127.0
49	251.288318	148.0
50	251.66614	142.0
51	252.043929	135.0
52	252.421684	127.0
53	252.799407	169.0
54	253.177097	135.0
55	253.554754	128.0
56	253.932378	127.0
57	254.309969	130.0
58	254.687527	143.0
59	255.065052	148.0
60	255.442544	132.0
61	255.820003	130.0
62	256.197429	159.0
63	256.574822	129.0
64	256.952182	128.0
65	257.329509	132.0
66	257.706803	125.0
67	258.084063	130.0
68	258.461291	124.0
69	258.838486	125.0
70	259.215647	129.0
71	259.592775	130.0
72	259.969871	128.0
73	260.346933	126.0
74	260.723962	133.0
75	261.100958	128.0
76	261.47792	153.0
77	261.85485	140.0
78	262.231746	123.0
79	262.60861	127.0
80	262.98544	123.0
81	263.362236	123.0
82	263.739	126.0
83	264.115731	127.0
84	264.492428	129.0
85	264.869092	131.0
86	265.245722	132.0
87	265.62232	129.0
88	265.998884	184.0
89	266.375415	135.0
90	266.751913	132.0
91	267.128377	133.0
92	267.504808	129.0
93	267.881206	122.0
94	268.25757	126.0
95	268.633901	182.0
96	269.010199	130.0
97	269.386464	123.0
98	269.762695	129.0
99	270.138892	131.0
100	270.515057	129.0
101	270.891188	129.0
102	271.267285	129.0
103	271.64335	128.0
104	272.01938	131.0
105	272.395378	127.0
106	272.771342	129.0
107	273.147272	132.0
108	273.523169	128.0
109	273.899033	126.0
110	274.274863	129.0
111	274.65066	128.0
112	275.026423	126.0
113	275.402153	133.0
114	275.777849	128.0
115	276.153512	125.0
116	276.529141	127.0
117	276.904737	125.0
118	277.280299	125.0
119	277.655827	129.0
120	278.031322	146.0
121	278.406784	129.0
122	278.782212	134.0
123	279.157606	149.0
124	279.532967	133.0
125	279.908294	129.0
126	280.283587	129.0
127	280.658847	128.0
128	281.034074	126.0
129	281.409266	124.0
130	281.784425	127.0
131	282.15955	154.0
132	282.534642	162.0
133	282.9097	129.0
134	283.284724	123.0
135	283.659715	123.0
136	284.034672	128.0
137	284.409595	128.0
138	284.784485	130.0
139	285.15934	131.0
140	285.534162	128.0
141	285.908951	132.0
142	286.283705	128.0
143	286.658426	131.0
144	287.033113	130.0
145	287.407766	138.0
146	287.782386	128.0
147	288.156971	130.0
148	288.531523	128.0
149	288.906041	130.0
150	289.280525	130.0
151	289.654975	127.0
152	290.029392	125.0
153	290.403775	129.0
154	290.778123	127.0
155	291.152438	129.0
156	291.526719	126.0
157	291.900966	128.0
158	292.275179	120.0
159	292.649359	128.0
160	293.023504	131.0
161	293.397615	136.0
162	293.771693	129.0
163	294.145736	129.0
164	294.519746	133.0
165	294.893722	128.0
166	295.267663	132.0
167	295.641571	132.0
168	296.015444	130.0
169	296.389284	129.0
170	296.76309	129.0
171	297.136861	132.0
172	297.510599	125.0
173	297.884302	126.0
174	298.257972	128.0
175	298.631607	126.0
176	299.005209	136.0
177	299.378776	131.0
178	299.752309	133.0
179	300.125808	128.0
180	300.499273	153.0
181	300.872704	129.0
182	301.246101	127.0
183	301.619463	133.0
