Unnamed: 0	wavelength	counts
0	232.734922	149.0
1	233.114346	129.0
2	233.493737	121.0
3	233.873095	119.0
4	234.252421	119.0
5	234.631715	124.0
6	235.010976	122.0
7	235.390204	119.0
8	235.7694	131.0
9	236.148564	124.0
10	236.527695	127.0
11	236.906793	122.0
12	237.285859	122.0
13	237.664892	121.0
14	238.043893	122.0
15	238.422861	124.0
16	238.801796	123.0
17	239.180699	120.0
18	239.559569	125.0
19	239.938407	126.0
20	240.317212	132.0
21	240.695984	130.0
22	241.074724	132.0
23	241.453431	124.0
24	241.832105	124.0
25	242.210747	129.0
26	242.589356	132.0
27	242.967932	130.0
28	243.346476	129.0
29	243.724986	133.0
30	244.103465	133.0
31	244.48191	157.0
32	244.860323	131.0
33	245.238702	134.0
34	245.61705	135.0
35	245.995364	128.0
36	246.373645	129.0
37	246.751894	126.0
38	247.13011	124.0
39	247.508293	135.0
40	247.886444	128.0
41	248.264561	140.0
42	248.642646	134.0
43	249.020698	127.0
44	249.398717	126.0
45	249.776703	132.0
46	250.154656	182.0
47	250.532576	135.0
48	250.910464	127.0
49	251.288318	151.0
50	251.66614	141.0
51	252.043929	135.0
52	252.421684	126.0
53	252.799407	167.0
54	253.177097	137.0
55	253.554754	127.0
56	253.932378	130.0
57	254.309969	130.0
58	254.687527	140.0
59	255.065052	150.0
60	255.442544	128.0
61	255.820003	130.0
62	256.197429	159.0
63	256.574822	132.0
64	256.952182	125.0
65	257.329509	130.0
66	257.706803	128.0
67	258.084063	136.0
68	258.461291	130.0
69	258.838486	125.0
70	259.215647	129.0
71	259.592775	129.0
72	259.969871	122.0
73	260.346933	126.0
74	260.723962	131.0
75	261.100958	127.0
76	261.47792	152.0
77	261.85485	133.0
78	262.231746	122.0
79	262.60861	130.0
80	262.98544	132.0
81	263.362236	126.0
82	263.739	125.0
83	264.115731	129.0
84	264.492428	129.0
85	264.869092	128.0
86	265.245722	128.0
87	265.62232	127.0
88	265.998884	176.0
89	266.375415	138.0
90	266.751913	132.0
91	267.128377	129.0
92	267.504808	127.0
93	267.881206	132.0
94	268.25757	133.0
95	268.633901	183.0
96	269.010199	132.0
97	269.386464	123.0
98	269.762695	126.0
99	270.138892	132.0
100	270.515057	132.0
101	270.891188	131.0
102	271.267285	129.0
103	271.64335	129.0
104	272.01938	134.0
105	272.395378	129.0
106	272.771342	129.0
107	273.147272	128.0
108	273.523169	129.0
109	273.899033	132.0
110	274.274863	126.0
111	274.65066	132.0
112	275.026423	130.0
113	275.402153	133.0
114	275.777849	129.0
115	276.153512	125.0
116	276.529141	125.0
117	276.904737	123.0
118	277.280299	124.0
119	277.655827	126.0
120	278.031322	148.0
121	278.406784	132.0
122	278.782212	136.0
123	279.157606	147.0
124	279.532967	130.0
125	279.908294	128.0
126	280.283587	128.0
127	280.658847	129.0
128	281.034074	126.0
129	281.409266	125.0
130	281.784425	135.0
131	282.15955	159.0
132	282.534642	163.0
133	282.9097	132.0
134	283.284724	129.0
135	283.659715	126.0
136	284.034672	130.0
137	284.409595	127.0
138	284.784485	133.0
139	285.15934	137.0
140	285.534162	131.0
141	285.908951	133.0
142	286.283705	127.0
143	286.658426	126.0
144	287.033113	132.0
145	287.407766	134.0
146	287.782386	129.0
147	288.156971	127.0
148	288.531523	127.0
149	288.906041	125.0
150	289.280525	123.0
151	289.654975	126.0
152	290.029392	125.0
153	290.403775	126.0
154	290.778123	126.0
155	291.152438	128.0
156	291.526719	125.0
157	291.900966	124.0
158	292.275179	126.0
159	292.649359	131.0
160	293.023504	132.0
161	293.397615	138.0
162	293.771693	130.0
163	294.145736	132.0
164	294.519746	136.0
165	294.893722	125.0
166	295.267663	131.0
167	295.641571	130.0
168	296.015444	128.0
169	296.389284	130.0
170	296.76309	132.0
171	297.136861	134.0
172	297.510599	129.0
173	297.884302	128.0
174	298.257972	130.0
175	298.631607	130.0
176	299.005209	130.0
177	299.378776	130.0
178	299.752309	131.0
179	300.125808	129.0
180	300.499273	159.0
181	300.872704	130.0
182	301.246101	126.0
183	301.619463	127.0
184	301.992792	134.0
185	302.366086	126.0
186	302.739346	124.0
187	303.112572	126.0
188	303.485764	161.0
189	303.858922	132.0
190	304.232045	127.0
191	304.605135	134.0
192	304.97819	129.0
193	305.35121	127.0
194	305.724197	126.0
195	306.097149	125.0
196	306.470067	136.0
197	306.842951	131.0
198	307.215801	126.0
199	307.588616	128.0
200	307.961397	130.0
