Unnamed: 0	wavelength	counts
0	232.734922	155.0
1	233.114346	132.0
2	233.493737	125.0
3	233.873095	121.0
4	234.252421	122.0
5	234.631715	121.0
6	235.010976	123.0
7	235.390204	118.0
8	235.7694	133.0
9	236.148564	125.0
10	236.527695	134.0
11	236.906793	126.0
12	237.285859	120.0
13	237.664892	124.0
14	238.043893	129.0
15	238.422861	122.0
16	238.801796	120.0
17	239.180699	117.0
18	239.559569	124.0
19	239.938407	125.0
20	240.317212	127.0
21	240.695984	133.0
22	241.074724	137.0
23	241.453431	131.0
24	241.832105	125.0
25	242.210747	130.0
26	242.589356	135.0
27	242.967932	132.0
28	243.346476	133.0
29	243.724986	133.0
30	244.103465	129.0
31	244.48191	176.0
32	244.860323	134.0
33	245.238702	134.0
34	245.61705	139.0
35	245.995364	131.0
36	246.373645	128.0
37	246.751894	130.0
38	247.13011	130.0
39	247.508293	138.0
40	247.886444	129.0
41	248.264561	149.0
42	248.642646	139.0
43	249.020698	134.0
44	249.398717	132.0
45	249.776703	142.0
46	250.154656	202.0
47	250.532576	137.0
48	250.910464	127.0
49	251.288318	160.0
50	251.66614	151.0
51	252.043929	137.0
52	252.421684	129.0
53	252.799407	188.0
54	253.177097	145.0
55	253.554754	134.0
56	253.932378	130.0
57	254.309969	132.0
58	254.687527	148.0
59	255.065052	150.0
60	255.442544	134.0
61	255.820003	134.0
62	256.197429	170.0
63	256.574822	130.0
64	256.952182	126.0
65	257.329509	130.0
66	257.706803	128.0
67	258.084063	135.0
68	258.461291	130.0
69	258.838486	131.0
70	259.215647	131.0
71	259.592775	128.0
72	259.969871	127.0
73	260.346933	129.0
74	260.723962	134.0
75	261.100958	132.0
76	261.47792	162.0
77	261.85485	136.0
78	262.231746	129.0
79	262.60861	132.0
80	262.98544	133.0
81	263.362236	130.0
82	263.739	131.0
83	264.115731	129.0
84	264.492428	128.0
85	264.869092	133.0
86	265.245722	132.0
87	265.62232	129.0
88	265.998884	204.0
89	266.375415	141.0
90	266.751913	135.0
91	267.128377	127.0
92	267.504808	132.0
93	267.881206	124.0
94	268.25757	125.0
95	268.633901	205.0
96	269.010199	136.0
97	269.386464	126.0
98	269.762695	127.0
99	270.138892	138.0
100	270.515057	132.0
101	270.891188	127.0
102	271.267285	125.0
103	271.64335	127.0
104	272.01938	134.0
105	272.395378	133.0
106	272.771342	130.0
107	273.147272	136.0
108	273.523169	129.0
109	273.899033	132.0
110	274.274863	127.0
111	274.65066	133.0
112	275.026423	129.0
113	275.402153	133.0
114	275.777849	131.0
115	276.153512	129.0
116	276.529141	134.0
117	276.904737	133.0
118	277.280299	130.0
119	277.655827	130.0
120	278.031322	160.0
121	278.406784	128.0
122	278.782212	131.0
123	279.157606	155.0
124	279.532967	137.0
125	279.908294	137.0
126	280.283587	138.0
127	280.658847	129.0
128	281.034074	125.0
129	281.409266	126.0
130	281.784425	125.0
131	282.15955	168.0
132	282.534642	171.0
133	282.9097	134.0
134	283.284724	129.0
135	283.659715	129.0
136	284.034672	136.0
137	284.409595	128.0
138	284.784485	134.0
139	285.15934	137.0
140	285.534162	127.0
141	285.908951	133.0
142	286.283705	131.0
143	286.658426	128.0
144	287.033113	137.0
145	287.407766	140.0
146	287.782386	133.0
147	288.156971	132.0
148	288.531523	128.0
149	288.906041	132.0
150	289.280525	131.0
151	289.654975	129.0
152	290.029392	130.0
153	290.403775	130.0
154	290.778123	132.0
155	291.152438	130.0
156	291.526719	129.0
157	291.900966	127.0
158	292.275179	131.0
159	292.649359	134.0
160	293.023504	132.0
161	293.397615	141.0
162	293.771693	137.0
163	294.145736	126.0
164	294.519746	136.0
165	294.893722	130.0
166	295.267663	135.0
167	295.641571	139.0
168	296.015444	131.0
169	296.389284	137.0
170	296.76309	137.0
171	297.136861	135.0
172	297.510599	131.0
173	297.884302	131.0
174	298.257972	134.0
175	298.631607	124.0
176	299.005209	128.0
177	299.378776	129.0
178	299.752309	137.0
179	300.125808	129.0
180	300.499273	165.0
181	300.872704	132.0
182	301.246101	127.0
183	301.619463	133.0
184	301.992792	137.0
185	302.366086	132.0
186	302.739346	133.0
187	303.112572	129.0
188	303.485764	177.0
189	303.858922	137.0
190	304.232045	130.0
191	304.605135	134.0
192	304.97819	128.0
193	305.35121	125.0
194	305.724197	128.0
195	306.097149	123.0
196	306.470067	131.0
197	306.842951	129.0
198	307.215801	130.0
199	307.588616	127.0
200	307.961397	132.0
201	308.334144	130.0
202	308.706856	138.0
