	wavelength	counts
290	341.370119	130.0
291	341.739741	128.0
292	342.109328	130.0
293	342.47888	126.0
294	342.848397	135.0
295	343.217878	135.0
296	343.587325	130.0
297	343.956736	130.0
298	344.326112	131.0
299	344.695453	133.0
300	345.064759	128.0
301	345.43403	135.0
302	345.803265	139.0
303	346.172465	131.0
304	346.54163	137.0
305	346.910759	126.0
306	347.279854	126.0
307	347.648913	154.0
308	348.017936	140.0
309	348.386925	130.0
310	348.755878	130.0
311	349.124796	159.0
312	349.493678	132.0
313	349.862526	130.0
314	350.231337	126.0
315	350.600114	127.0
316	350.968855	136.0
317	351.337561	132.0
318	351.706231	127.0
319	352.074866	124.0
320	352.443466	126.0
321	352.81203	127.0
322	353.180559	127.0
323	353.549053	134.0
324	353.917511	132.0
325	354.285933	127.0
326	354.65432	133.0
327	355.022672	132.0
328	355.390988	128.0
329	355.759269	125.0
330	356.127514	128.0
331	356.495724	129.0
332	356.863898	131.0
333	357.232037	127.0
334	357.60014	130.0
335	357.968208	132.0
336	358.33624	133.0
337	358.704237	132.0
338	359.072198	126.0
339	359.440123	127.0
340	359.808013	125.0
341	360.175867	129.0
342	360.543686	168.0
343	360.911469	132.0
344	361.279217	130.0
345	361.646929	126.0
346	362.014605	127.0
347	362.382246	134.0
348	362.749851	131.0
349	363.11742	138.0
350	363.484954	138.0
351	363.852452	130.0
352	364.219914	130.0
353	364.587341	132.0
354	364.954732	130.0
355	365.322087	131.0
356	365.689406	129.0
357	366.05669	129.0
358	366.423938	127.0
359	366.79115	131.0
360	367.158327	128.0
361	367.525468	129.0
362	367.892573	129.0
363	368.259642	129.0
364	368.626675	127.0
365	368.993673	130.0
366	369.360634	127.0
367	369.72756	127.0
368	370.094451	126.0
369	370.461305	127.0
370	370.828123	144.0
371	371.194906	130.0
372	371.561653	128.0
373	371.928363	125.0
374	372.295038	132.0
375	372.661677	132.0
376	373.02828	135.0
377	373.394848	130.0
378	373.761379	132.0
379	374.127874	131.0
380	374.494334	123.0
381	374.860757	133.0
382	375.227145	129.0
383	375.593496	130.0
384	375.959812	134.0
385	376.326091	125.0
386	376.692335	133.0
387	377.058543	129.0
388	377.424714	132.0
389	377.79085	128.0
390	378.156949	128.0
391	378.523013	128.0
392	378.88904	126.0
393	379.255031	127.0
394	379.620987	129.0
395	379.986906	133.0
396	380.352789	130.0
397	380.718636	126.0
398	381.084447	127.0
399	381.450222	127.0
400	381.81596	131.0
401	382.181663	130.0
402	382.547329	136.0
403	382.91296	129.0
404	383.278554	124.0
405	383.644111	128.0
406	384.009633	132.0
407	384.375119	125.0
408	384.740568	128.0
409	385.105981	123.0
410	385.471358	128.0
411	385.836699	127.0
412	386.202003	130.0
413	386.567271	157.0
